wavelength[um]           flux[Jy]
4.802919497515497405e+00 9.867634735863737693e-04
4.807724819273263783e+00 1.096935039086708750e-03
4.812534948756252540e+00 5.899796207059543243e-04
4.817349890774593746e+00 9.808392578558023083e-04
4.822169650143221631e+00 7.233851845618489854e-04
4.826994231681899450e+00 1.043480471642288434e-03
4.831823640215215931e+00 1.152134077700931814e-03
4.836657880572579948e+00 8.137047025114057652e-04
4.841496957588230288e+00 2.350836532005830043e-04
4.846340876101236539e+00 6.772945105410389669e-04
4.851189640955514193e+00 8.106761677354396619e-04
4.856043256999840629e+00 9.440820422628336999e-04
4.860901729087832024e+00 1.218576688862559737e-03
4.865765062077957559e+00 1.147327999347929131e-03
4.870633260833544753e+00 1.092367320163941053e-03
4.875506330222796336e+00 6.281215045923938412e-04
4.880384275118790249e+00 1.115332862952919321e-03
4.885267100399468099e+00 6.968623182583124145e-04
4.890154810947647590e+00 9.679515955421190811e-04
4.895047411651042957e+00 6.918734187605763124e-04
4.899944907402258742e+00 3.542757906006101850e-04
4.904847303098789801e+00 9.965811028819595348e-04
4.909754603643035509e+00 9.441914961016397356e-04
4.914666813942294432e+00 8.468315108609096023e-04
4.919583938908781207e+00 1.094021962484240237e-03
4.924505983459625647e+00 1.163562282079389507e-03
4.929432952516857647e+00 1.048481182844532896e-03
4.934364851007448038e+00 5.545106065421134389e-04
4.939301683863293491e+00 8.938878060366081202e-04
4.944243456021228056e+00 5.798947695982187723e-04
4.949190172423037382e+00 7.844346223887720083e-04
4.954141838015429400e+00 2.822463641279824805e-04
4.959098457750072519e+00 3.367497457572400437e-04
4.964060036583591184e+00 7.111009825614984098e-04
4.969026579477556993e+00 8.266346790843465088e-04
4.973998091398528665e+00 1.078933384405208204e-03
4.978974577317996975e+00 5.943638226861761150e-04
4.983956042212440707e+00 9.919740046967296179e-04
4.988942491063345308e+00 9.909626368409779184e-04
4.993933928857154037e+00 9.356839298657375565e-04
4.998930360585300825e+00 8.336383779039195727e-04
5.003931791244231597e+00 8.225134705882007624e-04
5.008938225835386504e+00 8.352790940372643814e-04
5.013949669365178607e+00 5.809561813005844483e-04
5.018966126845050724e+00 1.405863183322462497e-04
5.023987603291482529e+00 5.285866313531684731e-04
5.029014103725941709e+00 3.622978629473354198e-04
5.034045633174912382e+00 8.157423389617162769e-04
5.039082196669929736e+00 8.705259462679104145e-04
5.044123799247563156e+00 7.648117947569081860e-04
5.049170445949409114e+00 8.922476514934948779e-04
5.054222141822116932e+00 1.050004221821706401e-03
5.059278891917391441e+00 8.223953895068919799e-04
5.064340701291981439e+00 8.221082781195229597e-04
5.069407575007691236e+00 1.059264555663682033e-03
5.074479518131396638e+00 8.138407015794121065e-04
5.079556535735047618e+00 4.611474978703268015e-04
5.084638632895670085e+00 2.113397686025874223e-04
5.089725814695343686e+00 8.654412507546248518e-04
5.094818086221258646e+00 8.858540522427248414e-04
5.099915452565697116e+00 6.983913304340786743e-04
5.105017918826000312e+00 8.698318946518472346e-04
5.110125490104636903e+00 4.014302133056576799e-04
5.115238171509194132e+00 4.837649698340228490e-04
5.120355968152357384e+00 1.041002902540693080e-03
5.125478885151911967e+00 7.846334722980512211e-04
5.130606927630777747e+00 5.735582898983604709e-04
5.135740100717002043e+00 5.902541139436595381e-04
5.140878409543742755e+00 3.573785702693680157e-04
5.146021859249314545e+00 2.243923596103664575e-04
5.151170454977185287e+00 3.287520253629426211e-04
5.156324201875936986e+00 6.081362696269886027e-04
5.161483105099310187e+00 5.438971005779834420e-04
5.166647169806227957e+00 6.379108585827100242e-04
5.171816401160747922e+00 4.930662270753611307e-04
5.176990804332091578e+00 7.164619318394809542e-04
5.182170384494676263e+00 8.816761588722842177e-04
5.187355146828076080e+00 6.432154453437462964e-04
5.192545096517045877e+00 8.263297089698054933e-04
5.197740238751555886e+00 3.499898628105115538e-04
5.202940578726746423e+00 2.682268425278134020e-04
5.208146121642936777e+00 3.754132797822231651e-04
5.213356872705670497e+00 1.642021925343552236e-04
5.218572837125715402e+00 4.100272736350942752e-04
5.223794020119036929e+00 4.045170647958644915e-04
5.229020426906815899e+00 8.054688038276841501e-04
5.234252062715459175e+00 4.194250589897413855e-04
5.239488932776602326e+00 3.521525959219687254e-04
5.244731042327116732e+00 6.847141700403158162e-04
5.249978396609110476e+00 6.690142417493966532e-04
5.255231000869926561e+00 6.805074577525366221e-04
5.260488860362181995e+00 5.789558582035708462e-04
5.265751980343742922e+00 6.259925679271513988e-04
5.271020366077721064e+00 4.260691543841153579e-04
5.276294022832505703e+00 2.160305908722250123e-04
5.281572955881746800e+00 3.645761238436541095e-04
5.286857170504389636e+00 4.980181439509974179e-04
5.292146671984641948e+00 2.026442433865698295e-04
5.297441465612009459e+00 5.559759390976733249e-04
5.302741556681281665e+00 5.038583999675083722e-04
5.308046950492546046e+00 5.284709920680089740e-04
5.313357652351208493e+00 7.985564811541769016e-04
5.318673667567960450e+00 4.819808309010442746e-04
5.323995001458828646e+00 5.240268038851934656e-04
5.329321659345145790e+00 6.997101448520129602e-04
5.334653646553560336e+00 7.487064621062041294e-04
5.339990968416064021e+00 6.402912409949105231e-04
5.345333630269974101e+00 2.599545088666476160e-04
5.350681637457967987e+00 1.045453003336623140e-04
5.356034995328046833e+00 1.918384614296186918e-04
5.361393709233554183e+00 4.662989825924314380e-04
5.366757784533228381e+00 3.788266952667068590e-04
5.372127226591127069e+00 2.571576909027979089e-04
5.377502040776687586e+00 3.657903683395728246e-04
5.382882232464750061e+00 4.056275699591368913e-04
5.388267807035501455e+00 5.308673117034695384e-04
5.393658769874507541e+00 6.517210117898976883e-04
5.399055126372735991e+00 5.049536752624998216e-04
5.404456881926535949e+00 4.887641490723026094e-04
5.409864041937665569e+00 1.827447015102827627e-04
5.415276611813295560e+00 2.454945399342227841e-04
5.420694596965989653e+00 8.295867736312641889e-05
5.426118002813722363e+00 1.574314787960140981e-04
5.431546834779907407e+00 3.388352914202966983e-04
5.436981098293381720e+00 4.551478962384823386e-04
5.442420798788408121e+00 3.224691913325315024e-04
5.447865941704686854e+00 4.436427694480741092e-04
5.453316532487360035e+00 2.573163809554541407e-04
5.458772576587028524e+00 3.612127486913062954e-04
5.464234079459717286e+00 1.352015569681580044e-04
5.469701046566937563e+00 2.940351840270083667e-04
5.475173483375658456e+00 3.413107248061490696e-04
5.480651395358322020e+00 2.095401972585672851e-04
5.486134787992848594e+00 2.956670942322531313e-04
5.491623666762627032e+00 4.721335699977899760e-04
5.497118037156524473e+00 4.929385184070251549e-04
5.502617904668908544e+00 2.095601611511165865e-04
5.508123274799650027e+00 3.982162513534970544e-04
5.513634153054125520e+00 3.838292458372402410e-04
5.519150544943213887e+00 2.425445708917781064e-04
5.524672455983298036e+00 2.526175263648508594e-04
5.530199891696303993e+00 2.149047931754166239e-04
5.535732857609660940e+00 4.023020996188102693e-04
5.541271359256339402e+00 3.605741997847565082e-04
5.546815402174844145e+00 2.045679517192872630e-04
5.552364991909219505e+00 1.625855368747205186e-04
5.557920134009045832e+00 1.630138245908212356e-04
5.563480834029462585e+00 2.737869558276871109e-04
5.569047097531185209e+00 1.481538219731895348e-04
5.574618930080467827e+00 2.613727272393159720e-04
5.580196337249130778e+00 1.224188455958700778e-04
5.585779324614605024e+00 1.486918348826535199e-04
5.591367897759871752e+00 3.258436300424859332e-04
5.596962062273499683e+00 4.040097699181857249e-04
5.602561823749655723e+00 1.450799896688738139e-04
5.608167187788102304e+00 3.210452699256149543e-04
5.613778159994197381e+00 1.708618676097713694e-04
5.619394745978917527e+00 2.077122546902995641e-04
5.625016951358853490e+00 3.411690741071278770e-04
5.630644781756208417e+00 2.327186038883352561e-04
5.636278242798814730e+00 2.804764916590932015e-04
5.641917340120138569e+00 9.987782565087131392e-05
5.647562079359276233e+00 1.501296167029996876e-04
5.653212466160955074e+00 1.555367071166593171e-04
5.658868506175565471e+00 2.063519731646774403e-04
5.664530205059157275e+00 2.866871969952645440e-04
5.670197568473430039e+00 3.552402026097996996e-04
5.675870602085742789e+00 1.193884487931878369e-04
5.681549311569130012e+00 2.564930585513553862e-04
5.687233702602298102e+00 2.133463559489188316e-04
5.692923780869640460e+00 1.572258428123160718e-04
5.698619552061241933e+00 3.588565710879761247e-04
5.704321021872855724e+00 2.514984012373135667e-04
5.710028196005965562e+00 7.067095086302298929e-05
5.715741080167753729e+00 1.370949350153431040e-04
5.721459680071106391e+00 1.009081163363176174e-04
5.727184001434619809e+00 1.908541569713837665e-04
5.732914049982607452e+00 1.453263182154847894e-04
5.738649831445123084e+00 2.104450761989424146e-04
5.744391351557942116e+00 2.432375350193073291e-04
5.750138616062592689e+00 1.551977450408220443e-04
5.755891630706344131e+00 2.377904330143341992e-04
5.761650401242202513e+00 1.768884935425533609e-04
5.767414933428948842e+00 4.566374731303213513e-05
5.773185233031119523e+00 1.715697517783270601e-04
5.778961305818993921e+00 1.343051382264196588e-04
5.784743157568643213e+00 3.111829227527676588e-04
5.790530794061935715e+00 4.591737358960904869e-04
5.796324221086498696e+00 4.161769569920679285e-04
5.802123444435760113e+00 1.855391175478653489e-04
5.807928469908952174e+00 2.507581228511635008e-04
5.813739303311101558e+00 3.036148018086424951e-04
5.819555950453048965e+00 7.250132904002065594e-05
5.825378417151427790e+00 1.109423201585444876e-04
5.831206709228703211e+00 8.495006518438145699e-05
5.837040832513173960e+00 1.627990999913380560e-04
5.842880792838965220e+00 3.148606568520589412e-04
5.848726596046033954e+00 2.419070319249040180e-04
5.854578247980187555e+00 3.350802260811987622e-04
5.860435754493076743e+00 1.363847150652545406e-04
